Can you tell me how much money I have,balance
How can I find my card pin,password_card
Can you tell me everything about those card with immediate debit,immediate_debit
Can you give me my limits,limits
Could you tell me if its possible to make a contactless payment without entering my pin,contactless_card
Can You tell me where is my card pin,password_card
Could you tell me if contact less card are safe,contactless_card
What is my domestic cash withdrawals balance,balance
Could you please give me some informations about immediate debit,immediate_debit
When do I have to start paying overdraft fees,outstandings
What does a deferred debit card mean,deferred_debit
Can i have an overdraft autorisation,authorized_overdraft
Could you gave me some more details about the internet option,Internet_option
What is the difference between basic cards and premium cards,premium_card_advantages
How long does it take to order a new card,order_card
What is my international payments outstandings,outstandings
May I have more information about contactless card,contactless_card
Can you explain me how can I act against fraud,against_fraud
How my new card would be send if I order a new card will it be sent to me in the post,order_card
what are the advantage of the internet option,Internet_option
What is a payment outstanding,outstandings
What payment method should I use abroad,foreign_spending
what is the process to block a mastercard,how_block_card
What is the internet option,Internet_option
What is the international option,International_option
When will I get my new card,order_card
Do I need to use a cheque to pay for something abroad,foreign_spending
What is my cash withdrawal limit,limits
I would like to know if I can return an article bought online,online_payment_cancellation
How can I cancel my last online payment,online_payment_cancellation
Can I pay in a foreign country with my card,foreign_spending
Do I have to pay to order a new card,order_card
Can I know how much money I have on my account,balance
What is the option to have a delay before the debit,deferred_debit
What does an immediate debit card mean,immediate_debit
What should I do when I suspect fraud on my acount,against_fraud
Are there mistakes on my bank statement,against_fraud
May I have some more informations about the deferred credit card,deferred_debit
What is exactly the immediate debit,immediate_debit
I need to know my withdrawal balance,balance
Must I pay for overdrafts,authorized_overdraft
May I know if I can withdraw money abroad,foreign_spending
what should I do when Im worried about hacking on my banc account,against_fraud
what is my payment balance?,balance
Can you tell me more about contactless card,contactless_card
What are the specificity of deferred debit,deferred_debit
what is my domestic payments limit,limits
what should I do if my bank account had been fraud,against_fraud
Can you tell me everything about the deferred debit card,deferred_debit
what is my payment balance,balance
Can I pay by cheque in a foreign country,foreign_spending
Do I have money on my account,balance
Where can I find the code pin of my card,password_card
What is my domestic cash withdrawals outstandings,outstandings
Could you gave me some informations about a premium card,premium_card_advantages
How can I get some more informations about the deferred debit card,deferred_debit
How can i know what are my limit,limits
What should I do if some operation seems suspicious,against_fraud
May I have some more informations about cancelling an online payment,online_payment_cancellation
What is my domestic cash withdrawal limit,limits
What can I do to be able to pay in a foreign country,foreign_spending
How can I stop the fonctionment of my card,how_block_card
can you explain me how works this option to pay online,Internet_option
Can I have informations about contactless card,contactless_card
When are transactions debited with a deferred debit card,contactless_card
Who should I call to canceled my card,how_block_card
How can I do if I need a delay before debit,deferred_debit
What overdraft am I allowed,authorized_overdraft
Could you tell me my balance,balance
How can I correct a mistak Ive made on online payment,online_payment_cancellation
I need to know my withdrawal outstandings,outstandings
What should I do if I am a victim of fraud,against_fraud
what are the fees of a premium card,premium_card_advantages
can I block my card,how_block_card
What are the advantages of premium cards,premium_card_advantages
How can I cancel my bank card if it is lost or stolen,how_block_card
How can I make a purchase abroad,foreign_spending
What should I do if there are fraudulent transactions,against_fraud
What should I know about the internet option,Internet_option
I need to have acces to my balance,balance
can you explain how works this web option,Internet_option
What is my withdrawal limit,limits
How much is the internet option,Internet_option
Could you tell me how I block my card,how_block_card
Could you give me details about the contactless card,contactless_card
can you give me some more details about the international option,International_option
What is the point of having a premium card,premium_card_advantages
Could you tell me how I can cancel a purchase Ive made on the web,online_payment_cancellation
What changes to have an immediate debit card,immediate_debit
Do I need to enter my pin to make a contactless payment,contactless_card
can you explain me the overdraft policy,authorized_overdraft
can you explain me what is the internet option,Internet_option
What should I do if there are fraudulent transactions on my account,against_fraud
What are the advantages of a premium card compared with other cards,premium_card_advantages
what should I do when there are transactions on my account that I didnt make,against_fraud
could I know what are my outstandings,outstandings
How can I know how much money I have in my account at the moment,balance
What are the advantages of a deferred debit card,deferred_debit
What is my domestic limit,limits
How can I know if there are taxes on overdrafts,authorized_overdraft
What is my authorised overdraft,authorized_overdraft
Could you tel me everything about the contacteless,contactless_card
What is my domestic payments balance,balance
Could you tell me my limit,limits
what are the rules about overdrafts,authorized_overdraft
What advantages do premium bank cards have,premium_card_advantages
how can I prevent someone else to use my card,how_block_card
How much can I spend with a contactless card,contactless_card
Could you gave me more details about the immediat debit card,immediate_debit
What is a premium card,premium_card_advantages
Could you please tell me what is a deferred debit card,deferred_debit
What should I do when there are some strange transactions on my account,against_fraud
can you explain me how I find the pin of my card,password_card
How much should I pay to have a new card,order_card
May i know haw works thos credit card without contact,contactless_card
Can you tell me what are my outstandings,outstandings
What is the best payment method to use when I am abroad,foreign_spending
Could you explain me what I should do against fraud on my account,against_fraud
I want to know my limit,limits
what should I do if I cant remember my card password,password_card
can you tell me what is my payment limit,limits
What is the international solution for,International_option
What is the internet option for,Internet_option
Can you tell me if immediate debit is a good option,immediate_debit
What have I to do when my bank card has been stolen,how_block_card
Can you tell me what is the international option,International_option
Tell me how I should act if I find strange operations on my account,against_fraud
can you tell me how I get a new card,order_card
How works the card without contact,contactless_card
Could you explain to me what is an immediate debit card,immediate_debit
Can you tell me more about my withdrawal outstandings,outstandings
Can you give me more details about the international option,International_option
Can I find my card pin online,password_card
Where can I find my pin,password_card
Can you teach me what is this international option,International_option
what is a deferred debit,deferred_debit
What is my current balance,balance
Can you give me the details of my outstandings,outstandings
May I have informations about the immediate debit,immediate_debit
How can I do if there are suspicious transactions on my account,against_fraud
What is my payments balance,balance
how I can block my card,how_block_card
Can you tell me what is my withdrawal outstandings,outstandings
Could you tell me everything about premium card,premium_card_advantages
Can you tell me more about this internet option,Internet_option
I dont know what the internet option is,Internet_option
Should I use my card to make a purchase abroad,premium_card_advantages
What is my payments outstandings,outstandings
Can I have an overdraft,authorized_overdraft
I need informations about deferred debit,deferred_debit
Who should I call to block my card,how_block_card
What is the payment outstandings,outstandings
Can I have some more informations about the immediate debit,immediate_debit
Can you Tell me more about premium card,premium_card_advantages
Is it free to order a new card,password_card
Can you explain me what is a premium card,premium_card_advantages
What should I do if there are suspicious transactions on my account,against_fraud
can tell me everything about balance,balance
"Can you help, Ive lost my bank card",balance
may I have informations about the internet option,Internet_option
Can you gave me some informations about the payment online,Internet_option
How can I cancel a payment made online,online_payment_cancellation
Can you tell me the charges of a premium car d,premium_card_advantages
can you give me details about those card without contact,contactless_card
Can you explain me what should I do when I go in a foreign country,foreign_spending
Can you explain the specificity of the immediat debit,immediate_debit
Where can I find my limit,limits
How can I know what is the international limit,limits
Give me my card pin,password_card
Can you give me more details about premium card,premium_card_advantages
Can I know my balance,balance
Can you tell me more about my withdrawal balance,balance
could you tell me how much money I have in my account,balance
Can you give me some good reasons to purchase a premium card,premium_card_advantages
may I know what are my balances,balance
may I know how to block my card,how_block_card
what is the limit on overdrafts,authorized_overdraft
What is the process to use a contactless card,contactless_card
Could you give me my outstandings,outstandings
What is contactless payment,contactless_card
What is my limit,limits
Do I have to pay fees if I pay for something by cheque abroad,foreign_spending
can you help me I need to have acces to my outstandings,outstandings
What is this web option,Internet_option
Where will I got this new card,order_card
can I go overdraft,authorized_overdraft
I would like to know what is the overdraft amount that I am allowed,authorized_overdraft
Is there a process to cancel an online purchase,online_payment_cancellation
Do I must pay to have a new card,order_card
How can I do if I have lost my card code,password_card
How much does the internet option cost,order_card
Where can I find the information about the international option,International_option
Could you gave me my outstanding balance,outstandings
how to cancel my bank card,how_block_card
How can I cancel my online payment,online_payment_cancellation
Do I have some money on my account,balance
Could you give me my balance,balance
How can I do if someone hacked my account,against_fraud
how works my card abroad,foreign_spending
How can I order a new card,order_card
May I have some details on the international option,International_option
Can you give more informations about the international option,International_option
What can I do if i have lost my card password,password_card
What is my authorised overdraft limit,authorized_overdraft
what is my international cash withdrawals balance,balance
What is my outstanding outstandings,outstandings
Do I have to pay for the internet option,Internet_option
Can you Give me details on immediate debite card,immediate_debit
could you give more information about the web option,Internet_option
what should I do if I m victime of a fraud,against_fraud
When my account id debited with a deferred debit card,deferred_debit
What is my payments limit,limits
Where can I find my balances,balance
Should I use my bank card to make a purchase abroad,foreign_spending
I would like to know what a deferred debit card is,deferred_debit
How can I blocke my card when it was stolen,how_block_card
I want to know how works contactless card,contactless_card
What is my international limit,limits
Can you tell me if there are any fees attached to the international option,International_option
When are transactions debited with an immediate debit card,deferred_debit
What is the phone number to block my card,how_block_card
Can I cancel a payment made on the internet or not,online_payment_cancellation
What is my withdrawal balance,balance
How can I get my pin sent to me again,password_card
Do I have the right to cancel after an online payment,online_payment_cancellation
How can I cancel a purchase online,online_payment_cancellation
Can you remind me the number to call if someone robbed my card,how_block_card
What is the maximum amount for a contactless payment,contactless_card
Can you tell me what should I do in case a fraud sucpicious,against_fraud
I dont know what is my international balance,balance
Some operation on my accounts seems strange what should I do,against_fraud
Can you tell me how works payment abroad,foreign_spending
What is my international payments balance,balance
What is my domestic payments outstandings,outstandings
What is my withdrawal outstandings,outstandings
What are the solution if I made a mistack with an online payment,online_payment_cancellation
Can you tell me more about immediate debit card,immediate_debit
Can you give me my balance,balance
Can you tell me what is a deferred debit,deferred_debit
Can you tell me is Im allow to have overdrafts,authorized_overdraft
Is it possible to have some informations about the international option,International_option
I would like to have some informations about the international plan,International_option
could you tell me everything about those contacteless card,contactless_card
How can I spend money In a foreign country,foreign_spending
Could you give me more informations about the process to block my card,how_block_card
How I cant find my card password,password_card
What are the option to pay in a foreign country,foreign_spending
What I am advised to do if I am a victim of fraud,against_fraud
Could you give me some details on the deferred debit card,deferred_debit
What is my international outstanding balance,outstandings
what is an immediate debit card,immediate_debit
Give me the details of my balance,balance
What is a contactless payment for,contactless_card
can you tell me what is my payment outstandings,outstandings
Can I cancel an online purchase,online_payment_cancellation
How can I canlled an online purchase Ive just made,online_payment_cancellation
what is my international cash withdrawals outstandings,outstandings
tell me everything about outstandings,outstandings
Could you explain me the immediate debit,immediate_debit
When will I receive this new card,order_card
Can you explain what is my international outstandings,outstandings
How can I do if I need to find the password of my card,password_card
How much money do I have in my account,balance
When will my new card be available,order_card
Can you give me some more informations about preium card,premium_card_advantages
When must I pay the overdrafts fees,authorized_overdraft
Why should I got a premium card,premium_card_advantages
What should I do if Ive lost my code pin,password_card
What is the international option for,limits
How can I blocked my card,how_block_card
where can I find information about the payment on internet,Internet_option
Can you tell me if there is a cooling off period during which I can cancel an online payment,online_payment_cancellation
can you explain me how I can get a new card,order_card
Can you tell me more about deferred debit,deferred_debit
Am I allowed to go into my overdraft,authorized_overdraft
Can you explain me how I cancel an online payment,online_payment_cancellation
Is their no danger to use a card contactless,contactless_card
Where can I fiond my outstandings,outstandings
Can I see my current balance,balance
what should I do when I cant remember my card pin,password_card
Can you explain me the internet option,Internet_option
Who pay for my overdrafts,authorized_overdraft
Is it a solution to cancel online payment,online_payment_cancellation
what should I do when I think my account have been hacked,against_fraud
How can I find my card password,password_card
What are the limits for my overdrafts,authorized_overdraft
What can I do if fraudulent transaction had been made on my account,against_fraud
Could you tel me what is an immediate debit card,immediate_debit
Can you help me I really need to cancel my last online operation,online_payment_cancellation
How can I cancel my card,how_block_card
How does contactless payment work,contactless_card
I would like some more informations about contactless card,contactless_card
could I know what are my balance,balance
Can you give me details about the internet option,Internet_option
What are the advantages of a premium card,premium_card_advantages
Can tell me more about premium card,premium_card_advantages
could you tell me what are my limits,limits
Can you tell me if I can pay in a foreign country,foreign_spending
may i have more information about my limit,limits
What is my domestic outstanding balance,outstandings
How much does it cost to order a new card,order_card
What can I do if i was hacked,against_fraud
What are the fees to have a new card,order_card
What is a limit of payment,limits
What is my balance,balance
Where can I find my bank card pin,password_card
can you explain me how I got a new card,order_card
What is my outstanding balance,outstandings
Could you give me some details about cancelling an online purchase,online_payment_cancellation
I want to know if the premium card free,premium_card_advantages
What is the best way to pay for something abroad,foreign_spending
Is it a way yo know my balance,balance
what should I do if someone robbed my card,how_block_card
Can I return an item bought online,online_payment_cancellation
Can you tell me what I should do if I have lost my card,how_block_card
how can i block my card visa,how_block_card
Can you give me details on the deferred debit card,deferred_debit
How to cancel a payment online,online_payment_cancellation
Could I have informations about overdraft fees,authorized_overdraft
Can you gave me my payment balance,balance
Should I pay to have a new card,order_card
can you tell me more about my domestic payment limit,limits
What is my international payments limit,limits
What is a card without contact,contactless_card
Can you tell me everything about operation in a foreign country,foreign_spending
could you tell me more about this new card,order_card
Do I have the right to cancel a payment made on the internet,online_payment_cancellation
Can you tell me what is my withdrawal balance,balance
what should I do My card was stolen,how_block_card
What should I do if there is a mistake on my account,against_fraud
What is a deferred debit card,deferred_debit
explain me the immediate debit card,immediate_debit
Can you gave me my payment outstandings,outstandings
what should I do when I have lost my bank card,password_card
I want some informations about the international option,International_option
What is my international cash withdrawal limit,limits
Can you explain me the deferred debit,deferred_debit
Do I have to pick up my card in-branch if I order a new one,order_card
Why are there different ranges of bank cards,premium_card_advantages
Can I have my actual balance,balance
Can you explain me how to cancel my credit card,how_block_card
how can I cancel purchase on the internet,online_payment_cancellation
What are the charges on a new card,order_card
Can you give me more details about the overdrafts rules,authorized_overdraft
Fuck off,bad_word
suck my dick ,bad_word
Shut up,bad_word
Damn you,bad_word
Fuck you ,bad_word
Kiss my ass,bad_word
Kiss my arse,bad_word
Son of a bitch motherfucker ,bad_word
dickhead ,bad_word
cocksucker ,bad_word
bitch whore ,bad_word
cunt,bad_word
fat arse,bad_word
samrt ass,bad_word
wanker,bad_word
arsehole,bad_word
Piece of shit ,bad_word
idiot,bad_word
fiend,bad_word
villain,bad_word
dumbass,bad_word
pain in the ass,bad_word
jerk,bad_word
cockroach,bad_word
bastard,bad_word
turd,bad_word
fucking,bad_word
Hello,hello
Hello sunshine,hello
Howdy patner,hello
Hi there ,hello
Hi,hello
Good morning,hello
Good afternoon ,hello
Good evening,hello
Hey,hello
Its nice to meet you,hello
Its a pleasure to meet you ,hello
Morning,hello
Hey there,hello
Yo,hello
How are you,how_are_you
Is everything going well ,how_are_you
Are you ok ,how_are_you
whats going on ,how_are_you
How do you do ,how_are_you
Is everything ok,how_are_you
Are you in a good mood today ,how_are_you
Are you okay,how_are_you
Whats up,how_are_you
How are you doing ,how_are_you
How have you been ,how_are_you
Hows everything ,how_are_you
Hows it going ,how_are_you
Whats new ,how_are_you
Whats up ,how_are_you
Are you a robot ,robot
Wahassup ,how_are_you
What are you up to ,how_are_you
Are you a human ,robot
You are a human or a robot ,robot
Are you an artificiel intelligence ,robot
Where do you live ,robot
Where are you ,robot
Am i speaking to a robot ,robot
Please tell me your identity ,robot
I want to know who Im speaking to ,robot
Can you tell me who you are ,robot
who are you ,robot
Are you a chinese child,robot
Are you an exploited intern ,robot
Are you well paid ,robot
Do I speak with a robot ,robot
Do I speak with a human ,robot
are you wmaid of flesh,robot
tell me a joke,humor
Are you funny ,humor
can you be funny ,humor
can you tell me a joke,humor
I want a joke,humor
make me laugh ,humor
I want to laugh ,humor
tell me something funny,humor
Do you now some trick ,humor
Do you have any joke for me ,humor
Are you able to be funny ,humor
You are too serious ,humor
Can you tell me something funny ,humor
Are you able to tell joke ,humor
I need to laugh ,humor
Tell me a trick,humor
Can I see if you are a joker ,humor
I want to smile ,humor
Are you able to make me smile ,humor
